method,grid_search_seconds,encode_train_median,encode_test_median,fit_mean,fit_median,fit_stdev,fit_min,fit_max,fit_n_repeats,predict_mean,predict_median,predict_stdev,predict_min,predict_max,predict_n_repeats,throughput_docs_per_s,wall_clock_seconds,n_errors,n_truncated,input_tokens,output_tokens,cost_usd,usage
tfidf,95.79188570799306,0.0,0.0,7.231408014001015,6.766034750035033,0.8235831802095218,6.745860666967928,8.182328625000082,3,0.93630126399997,0.9362435410148464,0.0027163765081159004,0.9336142090032808,0.9390460419817828,3.0,8044.915313205415,,,,,,,
embed:all-MiniLM-L6-v2,0.0,27.280508166004438,18.747884707991034,0.3696953746645401,0.371657999989111,0.0065013400739911175,0.3624388329917565,0.3749892910127528,3,0.0014886386537303526,0.0014295419678092003,0.00010606120473552649,0.0014252910041250288,0.001611082989256829,3.0,5268820.48208975,,,,,,,
jev:jev-1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2959574886192017,0.2833705414959695,0.058903828784640205,0.21290566702373326,1.4221004589926451,,53.94167372844043,139.63230058300542,0.0,163.0,8158622.0,1783918.0,0.3426621239999993,"{'input_tokens': 8158622, 'output_tokens': 1783918, 'cost': 0.3426621239999993}"
